,body
861,Sound quality is very good. I'm facing issues while connecting it to bluetooth speaker.voice recognition is somewhat slow. Taking time to process and do action.
862,I don't know why people buy this. Waste of money.
863,Compared to old 3rd generation alexa the new 3rd geneation looks wight less and also the volue and bass both are low. It seems refurfibished
864,"Good device but some songs are not recognise buy the gadget and not been played. Otherwise its a best product to buy. Sound quality, voice recognition and reaction to the command quality is the best. Happy with the product 🥰☺️"
865,The best Amazon product 👌It's very nice and easy to use and helpful
866,"Alexa integration is great, voice recognition is perfect and sound quality is awesome for hall but best felt in small sized rooms , must buy for a starter of Amazon smart speaker!!!"
867,Easy setup with external Bluetooth speaker.Device is always need to connected to electricity power.It's not chargeable.It works with Wifi.
868,satisfye
869,"I would say everything is good about, just one thing that can be better is it's interaction with human.(like the way Google interacts with us, Alexa is less understanding I would say."
870,Even a Bluetooth speaker of this quality cost more than this( mine got in 2k with free bulb)Still trying to figure out all options I have. There is so much in offer at this price point.My son is loving it too.
871,Alexa skill need to improve. There are many spam in store. Amazon should filter them properly. Sound quality is good. Voice recognition is also good.
872,"Nice one, but no local radio channels, not playing the particular song as there are many songs with that name, overall worth to buy it, brought it fo 2k with smart bulb"
873,"Alexa is not responding to my questions, most of the time it is taking wrong intents. Even if I'm next to alexa it is not taking my intents.Thanks to the Amazon team for assisting me, but still the issue exists sometimes."
874,"Sound quality is really nice, sometimes she takes time to listen to me other than that the built quality and everything is good at this range."
875,Sound is good and voice recognition is also good. Connected with amazon prime music. Also got smart bulb connected to it.
876,"Good voice recognition, app integration and sound quality.Only 4 stars - charging cord is traditionally designed and not of USB type."
877,"Sound quality is good but Volume level is low..battery backup missing..missing integration with bigger platform s is imp like YouTube, regional language support should be brought in.When Volume is above 5..it mostly turns deaf"
878,"I use it in my home, and also I easily connect to my home using drop in features. And good for my kid learning features"
879,The voice recognition fails miserably and you have to be very close to device and then only it will detect your voice and although the sound quality is great
880,Con: No inbuilt battery always have to connect electric line.During song being played Alexa will not hear your voice and have to tell multiple times
881,Hardware aspect is awesome ... Amazon need to look in for better skills ... Overall good one
882,"I brought Echo Dot with Combo offers with Mi Smart android TV under the banners alexa works with this TV for easier functionality but echo is not working with TV, I am unable get proper alexa skills for TV, Pls do needful"
883,Very happy to use it. Its small but very powerful.. Sound is awesome...
884,"The media could not be loaded.
                



 Wooooooohoooooooo"
885,"Good product. But considering Tamil songs, all the time it starts with the same song"
886,Zero integration capabilities with fire tv or other devices. Cannot use aux.. what is this useless thing for?
887,Google Home Mini understands everything better than this ALEXA.But I Like ALEXA Voice Quality.My Favorite is Google Home Mini.
888,The Voice recognition is very Poor.For all Command Wifi required in home.Without Wifi Alexa is useless.Sound Quality is Good
889,Good voice recognition nd sounds quality
890,If you are buying it for listening music its good. Very less web coverage. But nothing that can't be fixed with an software update.
891,Good product
892,I created voice profile for myself only on it but it also recognises and execute commands given by others as well.
893,"Its a must have product for your kids, they will love and enjoy Alexa services."
894,Maximum time it says..I am in trouble to hear and not responding to voice commands..Not happy with the product. wasting of Money. I should have buy Google Mini.
895,"Excellent product, very happy with its features, highly recommend everyone to buy it..! :)"
896,Very nice I like very much
897,Alexa plays only amazon prime songs not outside songs waste of money
898,Sound quality can be improved further…The musics are limited to Amazon music
899,"We are very glad to bring alexa at home. It's like a new family member who always listen and help us, entertain us as well as control our smart devices smartly."
900,Sound quality excellent
901,When the music is loud its hard to recognise our commands.
902,"The media could not be loaded.
                



 Awesome product  , cool features with AI , love this 👍"
903,Very good product
904,Not happy with the product. Local FM tuning is not possible. YouTube connectivity is not possible without subscription to red. Playing music from integrated device is also not possible. Very unhappy
905,"Awesome product , does what it says."
906,This is my first smart speaker and i am really amazed using it. I love it. Thank you Amazon. It is able to recognize the queries even from my 4 year old kid. Wonderful!!!
907,Integration problem with other music app
908,I bought it In sale. I am happy because the money is well spent. Now I m exploring options and buying alexa supported devices to make my home smart
909,"Sound is good enough, needs improvement in music app integration. Since wired can't move often. Place it in the hall, can be used well."
910,It's really nice toy to play with. Tech geeks should must buy this. I recommend spending Rs. 2100 on echo dot than Bluetooth speakers.
911,It delivers as described by amazon. Not as good due to lack of google integration but still its fun to have an echo device.
912,Doesn't include google and that's what I didn't like.. When on high volume you have to shout loudly.
913,Loved it... Amazing compact product from Amazon.. Thanks for a smooth and safe delivery especially during such covid affected circumstances.
914,"I think because it's free it's defective,  doesn't work at all other than the 1st time.great service amazon"
915,Amazing product never misses any opportunity to impress you having fun and happy time with echo
916,Buy during sale will be good option.
917,I am very much satisfied with this product. Mostly we are using it to listen to songs but also at times for getting certain information. As it has a aux output slot I could connect it to my music system which gives an enhanced listening experience.
918,"The product is not in the courier only fire stick and wipro bulp only received ,Insted of echo dot I have received un ordered ladies hand bag"
919,"The media could not be loaded.
                



 world best speaker I have ever taken you should take it I will highly recommend and the best thing is that we can set commands and reply of the commands through app of Alexa I love Alexa"
920,ALexa Dot is too good .. nice sound quality .. super bass .. super clierty ... But Amazon service is poor ... Very poor
921,It picks different songs I want a song but it playsSong with nearby name or different language some times
922,We are like both products 👌👌
923,Excellent
924,Alexa is a problem as there are times when she doesn't respond to instructions.On the initial day of set up she kept making a mistake and was not recognising our voice. I didn't expect this from Alexa
925,Sound quality low .overall product is good
926,"Not recognizing voice always, difficulty with plugin"
927,Echo really 3rd. generation  with sound performance listening .
928,It was ok
929,It heats up
930,"Not integrating with audible.com , searching for titles in audible.com and hence not playing anything from audible"
931,Just works.  Can play a lot of music.  Not always the best at voice recognition but still. It works.
932,"I return this produxt but stil my  refund is not process its almost 45 days , bad expreriance with amezone"
933,"value for money, good sound. My son love it.voice recognition is great."
934,"This is my first smart device, and it works great. I have no complaints . Works well with the smart bulbs.Setup was incredibly simple and easy. It has a good sound quality and easily recognizes voice commands."
935,"Built quality not upto the mark. Power adapter failed in 2 months. Now, new Dapter cost Rs.1999 which is very close to entire cost of Echo dot."
936,Sound quality is not up to mark as I read from reviews. It requires high speed internet all time. And it also don't catch up the user voice so accurate as everyone told. But its ok ok
937,Good.
938,Very good product at an affordable price. Recongnises the voice of all. Has wide variety of usage.
939,Faced some difficulties with connecting to internet initially. Got prompt assistance from Amazon. So far working fine. Good one
940,"Perfect companion for work from home, connects easily with desktop to watch movies."
941,You have no clue what value it can add. Spend some time and then you will get used to it as your companion 🤠
942,"Awesome bought it for 2300 in Amazon sale , along with wifi 9w smart bulb worth it"
943,"The media could not be loaded.
                



 Alexa poor quality and adapter jaise tape lagi hui ha and very poor quality Alexa speaker  jaise old model de diya ha"
944,Worst productThis product did not connect I try several timeAm very disappointed 😞 this productPlease exchange another product
945,Excellent speaker ...but needs improvement in software and development of skills although it's paisa wasool
946,Not worth for 3500Very poor deviceIt cannot do simple tasks.Do not buy
947,"The media could not be loaded.
                



 Good enjoy"
948,Anytime companion for me
949,Good product. Buy it no problem.
950,Really bad. Within a week speaker got bad and started having noise. Voice is not clear even at very low volume levels. No option to replace or raise complaint.
951,"Alexa, play tollywood latest songs..Alexa turn on the light etc and much more..Wonderful AI"
952,The product is good and value for money. So in that sense i should be happy. Can you recommend some speakers which i could consider. I use the ALEXA as a speaker for my music which is on my computer and it is matched to my computer.
953,Superb sound quality.... Great purchase.... I am fan of alexa
954,Very interesting product. Must be incorporated youtube music in future generations.  Sound quality needs to be improved.
955,Recommended
956,Bluetooth is not working after 2 months from the date of purchase.  I want to replace the same. Can I replace the Eco Dot
957,Very very very bad product mostly ELEXA .Not understanding any command.useless software.
958,"This product I liked very much, but one things disappoint me that is, its power option. If it have alternative power option i.e. USB or battery than it can be carry anywhere."
959,My requirement was to use amazon echo dot as an additional speaker to my tv by connecting with fire tv stick.. but I couldn't because both were not in the same generation as I understand.. so my requirement didn't meet.
960,Overall it is good for the cost we use to pay.sometimes voice recognition is not accurate in the way of listening. Sound is really  awesome:).Still few might have improved but for this cost it is worth to buy.
961,"she is the only one, who will hear you in this entire world, ;Dkind of unconditional Love you'll Get it :)"
962,Sound quality is good but voice recognition is very bad.May be due to 4 mic
963,"Great sound quality and built, very useful."
964,Voice recognition is too good sound quality is awesome
965,My 2 year old say..Alexa.aunty .open you tube...light on..green color...bls bla bla..play fire truck.;)
966,Sound mast. Connectivity good. Voice recognition very good. Voice sensitivity very good.
967,very poor voice recognition.50% of questions alexa says I am not sure about that. only one good thing is that it has good bass. bad experience.not the performance which I had expected
968,Product is good but not good as compare to google home mini. But as per my experience it can do all your home related task properly.
969,very poor product. i can only 2 weak used .and that product not responding and seller also.so my money is dead.please don't purchace that product.
970,Not as expected . Why should I take prime for music .
971,"The media could not be loaded.
                



 Amazon eco dot and wipro smart buld with rupay card got only 1849 rupee"
972,Very impressive...great sound in its category and very senstive microphones.... It even sense whispering.
973,It's very great and working very nice and it is faster than Google and other voice assistant. Alexa is good for people who have smart home.
974,Good product
975,After buying we have to continue amazon prime membership  for interrupted alexa service.so service costly
976,Nice product.. but sound quality is not very good
977,It is good and sound quality is better than 2nd gen but still not that much loud.Other than that it's integration is very good.Fulfills the command very quickly too.
978,Product is good...but the bulb didnt get delivered to me..its awful..I have already spoken to the agent.she said I'll do the replacement and send you the bulb..but it was again the same..
979,Fantastic productLoving it.
980,"The media could not be loaded.
                



 We are expecting too much from alexa, otherwise for playing songs and lights in night it is very useful."
981,Nice product got it for  2000
982,It is a good speaker but limited search with Amazon music.It needs more integration options like youtube.
983,"alexa integration is great,voice recognition is bad with my choice and responds late and not much farther.sound quality seems good and at a good pitch and stabilization.Would've been great if it was wireless"
984,Excellent product on all parameters ! Truly delighted with the purchase - well worth the buy for the kind of experience
985,Ossam
986,"Cool product. Good for a time pass, nice voice integration, good sound clarity. Connected wipro smart bulb also to it. Hassle free set up."
987,Awesome product
988,Value of money...my daughter is now interacting with Alexa.. as she assumes some one talking to her any play songs what she wants
989,"Bluetooth connectivity from laptop, speaker noise, like demaged speaker. It is not worth to buy. Recorded playing via bluetooth and verify attached one."
990,"Useful product good response as well.My child is trying to speak with alexa, so i am happy to have it.It helps me to awake in the morning also provide me daily Calendar with to do list."
991,It would be better if it has battery storage.. to activate it it needs power thats only lack of thing.
992,"Its a Faulty Product. Worked perfectly fine for 5 days not it is not working.  Requesting amazon team to let me know what to do of this product now. It doesn't take any commands and ff it takes, then there is a disruption."
993,product is good only for looks not working properly after one month of use
994,Good room filling sound for the price and size. Wish it had a built in battery and was portable
995,Bought it during the sale. No sound output from firestick tv
996,Not connect properly  with phone .again and again  connection problem .wrost product
997,Good sound and new technology
998,"Pros -EverythingCons -NothingAbsolutely perfect, love my 3rd gen 🔥"
999,Amazon echo dot is truly a great product with true smartness. It does all jobs extremely well. Impressive sound quality and portable device easy to handle. Completely satisfied 🙂..
1000,Alexa Cant answer many of the things....i dont find any other use except a music player and an alarm
1001,I love everything about it. There is nothing to dislike about the device. Delivered everything as promised. Very happy customer.
1002,Sound quality is too good. Nice product
1003,Nice 👍
1004,Voice response is decent and only buy this if everyone can talk in English/hindi . I won't recommend this for other languages.  Better to buy after all languages update
1005,Excellent product. Very useful. Value for money. Go for it
1006,Better and best smart speaker with good quality sound
1007,Nice
1008,Nice and my kid love it. But sounds are look like bit low.
1009,Good
1010,I love this😍🥰
1011,Nice product.Very useful
1012,"Simply superb , along with wipro smart bulb and alexa echo dot my room became a disco theque and kids just loved it , thank you Amazon for such a great product , excellent engineering :)"
1013,Good frodect
1014,Sound quality is superI bought this 1999 worth for moneySometimes microorganism is not ok
1015,Likely
1016,It was fun for 2 3 days but after that it started getting bored and feels useless so I'm returning it.
1017,It just waste of money so many time at to device no aux
1018,"Multi Sound issue , only short voice catch by alexa. if 2-3 kids talk with Alexa continue it will hang. multi song are not avilable on Alexa."
1019,Always needed to be wired. To begin with one must have to connect with Android phone.
1020,Purchases Alexa dot on June 20 ..but from 3days back this items not working..really very disappointing from Amzon Alexa..
1021,Very much helpful in the age of artificial intelligence..
1022,Excellent product..u must have a wifi at home for this to work
1023,"It can't do even any one task without internet. With internet it can only send voice messages, it can't call me and any alexa or non-alexa devides. One more fault it is made in China."
1024,Not working
1025,"Good but not best, lot of things to be improved by amazon. Alexa always takes only single command, again and again we have to repeat for conversation."
1026,Cool gadget for smart home.
1027,Need to improve for Hindi knowledge.. Every time alexa say muje nahi pata.. Same think I asked in English than she replied ..
1028,The power port of Echo Dot is tilted  to right  side ad inserting power plug cord is not possible. Hence please replace the item.
1029,"Voice command , speaker everything is perfect . I am highly satisfied with the product . I purchased a combo with wipro smart bulb and the experience with both the products are amazing ."
1030,2 or more echo devices unable to communicate and cross connect each other
1031,"Compact and good built quality, good sound quality. Output power may enhanced..."
1032,Good. Prime music does not provide much more songs.
1033,Good very Good product go for it no dought at very useful gadget.
1034,every time it ask for configuration. Mahaghatiya
1035,awesome product and sound quality is very good works as a bluetooth speaker
1036,Cool product!! Voice recognition is quick and active. Alexa integration is very smooth and the sound quality is excellent. Thank you.
1037,Best gadget india got after colour tv
1038,Poor sound assessment. Couldn't connect to second phone nor bluetooth.
1039,Voice recognition & response time is terrific. My kids keep ragging Alexa all the time. They simply love the product. 😊👍
1040,Bulb is not working
1041,wow
1042,Does not recognise voice nd volume is too low wastage of money
1043,Nice product worth of money. But I think that the light or the smart plug will be more better than light because it disconnects every time
1044,Buttons are not working on the speaker and Amazon centre is not ready to help.I mean this is so stupid..it’s your product and the buttons are not working!?what kind of scam is this..and then no one is there to resolve the issue
1045,"Sir may receive wrong item, not working and blutooth, wifi not connectivity. Please return items."
1046,Intresting product 100 percent useful for every one
1047,Smart deviceHighly recommended
1048,Overall Product is good and its value for money.But it need a little bit improvement in hindi and voice Recognition.
1049,The echo dot and Alexa are quite fun! It's a riot playing 20 questions with Alexa. Sound is great for a small room. Only grouse - unable to create a playlist on Amazon Prime music and get echo to play that
1050,Doesn't connect to my one plus tv and doesn't hear voice in full audio... some skills doesn't works and very laggie app amazon Alexa app
1051,There are limited aap for alexa searching
1052,Superb itemYou should purchase.
1053,I love the product it’s my first smart deviceIt is better than google is getting all the tamil songs
1054,Cool gadget but cannot control app though voice command I would suggest make app command through Alexa in future generation
1055,I had got it last year during amazon great Indian sale for 2.5k and after almost 1 year of use i will say its still working great.
1056,Some time it will not accepting command?and I am using volume level at 5 always even though sounds quality very bad it's like crackers.i think its second time sold  me.
1057,Alexa always better than google home.but miss this things.micro usb and internal power.
1058,As I expected it wasn't worth the money. The sound quality is not that good as I expected from amazon. Also most of the times Alexa doesn't understand what you say. I am very disappointed by Amazon.
1059,"Great Sound Quality, but for many things its suggests to visit the Alexa App for further descriptions which ia very time consuming, futher only people who have excessive use of online shopping and food ordering should buy this."
1060,I received the order after one day of placing order. It's is good and speaker is awesome . I fell down twice my desk it was not harmed. A Grade Product.Thank you Amazon
1061,Nice echo Dot powerful sound.
1062,It is not working and we want to return it and we want another alexa for free it should be working
1063,"This device is very great , this device sound quality is 3D Alexa is very intelligent, speaker is very loud sound quality is quite better than Home theatre 😊"
1064,Good experience...also like to suggest to introduce automatic intelligence updating system so that we can experience latest technology. Overall I am satisfied
1065,Alexa is superb piece of technology. But need to improve the quality of the product.
1066,Worth the money. My daughter likes it very much. Product quality is very good compared to the price. Go for it !
1067,My family always enjoy talking to alexa. Great enjoyment.
1068,"Sound quality is decent , got it @1644 , so doesn’t bother me at all at this price segment...Alexa Is Somewhere not near the expectations"
1069,It's fun to have Alexa at home..
1070,Better get advanced version
1071,Good
1072,Voice recognition is low you need to shoute alexa to respond (older generation Echo does responds well)
1073,It works well...great functionality...only lacking points is its not portable...it should have been battery based.
1074,It didn't even start. Waste of time trying on it. Provide your customers a good quality product atleast. Not satisfied this time.
1075,Alexa device is good but bulb not much used without other WiFi.Bulb is working with mobile data.
1076,"Best product from Amazon, for home use, Children's study purpose - usage of right direction will be a limitless possibility of this device."
1077,Value for money gives zero star
1078,"Favourite dialogue "" IDont Know that"".. needs improvement"
1079,good item
1080,A nice product to have in your home
1081,It is not so good. It requires a continuous wifi connection.  So it can't connect by mobile data . It is not possible to have a wifi connection all time. This is no battery inside it also need a continuous power supply.
1082,Nice product!!
1083,Very good
1084,Everything is perfect.. If you are going to purchase it.. Please check your mobile network first... It only works with the help of network...
1085,The product is great and nice. The sound out put is loud. Only one thing is you need to be a Amazon prime member to use Alexa. Without that it will not work.
1086,Device has no Bluetooth connectivity.Very disappointed.Zero performance.Device does not access any voice.
1087,"Set up is easy, works fine. I am happy while talking."
1088,"A satisfactory product from amazon.It won't support the Youtube music, it need to be updated for Alexa."
1089,The product is too cool its blue light is just killing. The voice recognition is very good. Sometimes it don't catch but it is good. Overall it's a 5star
1090,Thank You Amazon For Alexa!! She's a part of family now....
1091,Nice product
1092,"I ordered combo echo dot+ Wipro light , but received only echo dot in box never expected this from amazon"
1093,I expected a small size but its bigger surprisingly rich n loud sound u won't regret buying
1094,Not working properlyFacing issues on connection with wifi
1095,"This device is very cool, works very well and kids can learn something from it. But it has some flaws, sometimes it does not respond."
1096,Some time create problem after Bluetooth connection... Sounnd kat kar kr aata hai
1097,The media could not be loaded.
1098,Sound quality is best 10/10Alexa integration 10/8Voice Recognition 10/7Weak part is we need to speak loud to activate Alexa it doesn’t activate on Normal voice.
1099,Amazing product
1100,very good
1101,"Must have in house 🏠,She is like our family member"
1102,Voice recognition
1103,Everything is great. Only I did not realize there is no battery backup on this device. Runs only on power
1104,It is a very good speaker. But the problem is that it cannot call anyone from your contact list unlike Google home mini. And the second problem is it can tell the prices of the products only available in Amazon
1105,The sound quality is best  and alexa hears all away from another room and responds very much like a real man talking... Best time pass
1106,I bought Alexa eco dot at 1999 with Wipro 7 w smart bulb. Smart deal and the quality of the eco dot is awesome.
1107,The echo dot is superb addition in my wifi speakers. It also provides lots of information to my children..
1108,Alexa is a flagship product of Amazon... It's a good product provided you can use it fully....
1109,Alexa recognition is worstAlex doesn't recognize and play wrong....
1110,Serves the purpose
1111,Great sound quality and features with updates in every aspect and if I got the option between Bluetooth speaker and Alexa  I would choose Alexa any day with no efforts Alexa makes it easy and changes mood real quick
1112,The media could not be loaded.
1113,Good product but i don't like the system of charging ...we have to keep on charge every time..if we remove charger alexa will get off...there is no battery life...while traveling we can't carry with us😏😏😕
1114,I like very must being i am an officer commending rank Officer so I may use it on long duty &/or at my residence for Arties & religious bhajans.
1115,The sound quality and voice recognition is really good.Make sure you set the setting in privacy setting to delete the recordings and also you can delete your recordings on daily basis
1116,"Absolutely mind blowing device. Beautiful shape, excellent working, nice performance, verry easy use.But the problem is that no battery storage. Only working when we plugged.Otherwise it's amazing."
1117,Value for money. Happy with Alexa and the smart bulb.
1118,"Sound quality not good ,in high volume Alexa can't hear the commands.it should be inbuilt  noise cancellation system."
1119,"The media could not be loaded.
                



 I Love This Product And With Smart Bulb Its Awesome 😎 Best Product You Can Buy It Without Any Problem Trust Me You Won't Even Sleep Without Saying Alexa....❤️❤️"
1120,"Good deal, during the sale. Got it for just 2299.00, along with a wipro smart bulb."
1121,"Nice voice, understands hindi english both, Very useful, and even controls the other compatible devices over voice.loving it"
1122,Some how I don't feel like it is worth to buy this product because it need always power and internet wifi connection and it doesnot even recognize properly
1123,I m very sad I m not able to connect Coustomer support
1124,"Great product for indoor music, daily event schedules, news updates, great companion of my 2 year old son in Lockdown."
1125,Wooweee now my home is smarter. I can control everything from Dubai.
1126,"Don'y Buy ,,,total waste of Money..Echo can't even understant what we want to say...even weather forecasting is not correct."
1127,Wow my son loved it. Hats off to Amazon. Sound quality and connectivity is amazing. Superb product
1128,"The media could not be loaded.
                



 PRODUCT IS VERY GOOD VALUE OF MONEY BUY IT IT IS BEST PRODUCT I LOVE IT"
1129,Good initiative We can learn lots with Alexa
1130,I ordered device which displays time on it - but one delivered does not have this feature. Product is good but not delivered what was ordered.
1131,"Alexa voice is awsm really its feeling awsm to talk with alexa.Grt purchase ,if wnybody want to buy a smart speaker go blindly to choose this grt one..."
1132,So good and proper work sound quality is awesome how to explain you I have no word thank you Amazon
1133,The speaker as they claim is not that smart. It doesn't understand even the simplest of things on first attempt. Sound quality is good.
1134,It is like that we are talking with futureGood work by amazon on this price point(BIG THUMBs UP AMAZON ECO DOT 3 GEN)
1135,Poor
1136,"Great product by Amazon, I love it. It is very entertaining and a reliable machine. Thank you!"
1137,Sound quality and voice recognition are good not the best. Dumber than Google Assistant. Works nicely within Amazon ecosystem. Lag in Bluetooth audio output. Need to get smarter. No ability for continued conversation.
1138,"Most of the times I got irritated. I was telling kannada or hindi song names, and it was playing some English songs. Most of the times it happened."
1139,Look wise it was good and the sound quality was also good but there are some problems like you can't use another device's hot-spot . You only use first paired wifi. Overall i will give 4 out of 5 star
1140,"I am unable to use Alexa, getting announcement as ""SORRY I AM HAVING TROUBLE UNDERSTANDING RIGHT NOW,  PLEASE TRY AGAIN LATER"". what shall I do. I am using Redmi note 5. When ever I say Alexa then it is giving above announcement.  Some one please help."
1141,Always have an issue with the connection. it got disconnected rapidly and need to reconnect
1142,Wroth buying specially with wipro smart lamp.My kids loved it .
1143,Last month I have order the echo 3rd dot it was new to me and it was good..after one month now at present no response of echo dot..I felt is wasting of money in like the device.
1144,"Need to upgrade the search software, most of the common searches it is not giving desired results. Songs and other things are OK.The search engine needs to be further upgraded."
1145,Very nice product. Sound quality is very nice.Integration with alexa is very good and responsive.
1146,The product is as promised. Thank you Amazon for timely delivery.
1147,Worst experience ever. Any thing we ask to alexa the answer is.. sorry!!!! I don't know. Thank God google assistant doesn't have these words in its dictionary. Please upgrade alexa with good search engine..
1148,It's The Bang Bang Product Hats Off To The Technology
1149,good product
1150,"this is a good product for listening music and staying updated, rejoicing mood etc.however still feel its build over weak AI , and recognizes already pre-loaded patterns."
1151,Useless for me bcz no internal battery.. Without net it's totally not working nd u can't trawling whit this product bcz no battery speekar.. 3rd class sound.
1152,Its really a good product but yes blutooth connectiin has to improve... baki paisa vasool
1153,It's not able to  remember my music library.
1154,Great product but it should be good if having better search and better response on music
1155,"It's amazing. It is very good for entertainment and fun purposes also. It can be a nice voice assistant, better than google home mini. I can also control this through my phone."
1156,Response is very poor
1157,"Its really good, go for it"
1158,"Whenever the volume is full,we literally have to shout to make her listen to our voice. Pathetic. Bluetooth connectivity is very poor. Automatically gets disconnected again n again."
1159,Voice recognition is at par with the competition.Compatible with many a languages.Crisp sound quality.Made for all age groups.
1160,"i was very excited for this product to deliver and have it to enjoy, but its not upto the mark at all, google mini and home is 1000000% better than this. very worst experience. its big pain using this, not expected such ordinary voice quality."
1161,Good
1162,Very happy with the  product... My 5 yrs kid love to talk with Alexa everyday.
1163,"I like this product to hear audio songs that too devotional songs,but I dislike that it's just be updated to give all kind of Catholic Christians songs."
1164,Really nice smart speaker.. lot of features
1165,Loved it
1166,"Magnificent product,  impeccable voice recognition"
1167,Good
1168,Voice recognization is not upti the mark.
1169,"Works fine for 4 months after that voice not clear, quality of product is not good"
1170,I’m lovin’ it and Sound is also awesome 😎 and Great Job Amazon.I’m feeling Superior and Alexa reduced so many jobs of mine at home 🏡
1171,Bought echo device and everything is good except every time we need to connect to power source. Apart from everything is good.
1172,Country of origin was missing when ordered. Returned because of made in china product.
1173,Shut up and take this money...it will best decisions and I got it for 1469
1174,Voice recognition  portability
1175,"Excellent one, the best entertainment for my kids"
1176,I've bought this in just only RS 1999 With a free wipro smart RGB bulb during the great Indian festival sale.
1177,Waste product due to no battery back up
1178,No need to review as all are aware if the Alexa
1179,Terrific purchase at a terrific discount. Got 12 W syska bulb with echo dot 3rd gen at 2399 only. And echo dot is amazing. Be smart. Have alexa.
1180,still  has a long way to go..its just a begining of artificial intelligence
1181,"The echo dot 3rd generation is really well designed and reliable product. It is compact and looks good on any table or any room. The mic on this works efficiently, sound quality for the price is good, not good but  not bad."
1182,"The media could not be loaded.
                



 Best Smart Speaker"
1183,Alexa is my new friend during lockdown- you can hear good music with your prime account
1184,Its not connecting with my device I used alexa app too I checked in YouTube also  I followed the rules same as the video I went to my nearby mobiles stores but they also can't. Why? Plz reply me and tell me
1185,Very bad quality Alexa product like local speaker sound.. product is light also..bad experience this product..
1186,"The media could not be loaded.
                



 Sound quality is very goodKdk..I am big fan of amezon ❤️💯thx for everything"
1187,"This item take my 2 hours i started to connect it with tv and phone but that will not connected to the any device according, to me this is useless"
1188,Nice one. Sound quality and voice recognition was good. Got it for 1999 Amazon great indian festival with smart bulb. Over all good product..
1189,M not  satisfied with this product. Worst n wasteful money for purchasing this
1190,"The media could not be loaded.
                



 Got this at 2049 only with Wipro 9watt Smart Led Included. Thanks Amazon ✌️👍"
1191,Good
1192,I am fall in love with this product i can't  express how I am feeling now with these but one thing is why Alexa only connect with wifi😔😔
1193,Very good product by Amazon i like the sound quality and control your home with it also it good design
1194,If the speaker will connect to a smartphone through Bluetooth so that we can take calls on the speaker and play music and videos on the speaker that will be a great feature.  The sound quality of the speaker is too good. I liked it.
1195,"Best in the Market, my family loved it. They are playing with it and best for kids. Fun to operate."
1196,Absolutely amazing. Previously I was sceptical about investing money on this but when it arrived it was worth it!You can absolutely buy this and won't regret. Cheers!
1197,"The sound when u connect your Alexa with your phone using bluetooth and then play ,is very different n low unlike it's normal sound..Very disappointed with this."
1198,Sound quality and bass is very good 👌👌😊Good experience in hindi also
1199,"The media could not be loaded.
                



 Gud product"
1200,Good product for home use
1201,"This is awesome..  Volume and base is good..  Can go for it..  Better than earfones,  or any other base systems.... Lved it ❤❤"
1202,acutally gifted to old lady she was fully amazed and enjoyed it alot. wonderful item. must buy for every household.
1203,"Must buy, very nice build up and performs well !!"
1204,It shoud be updated with all indian languages...
1205,Day by it performance is worsen. Unable to change wipro smart buld colors from past two months. Even daily routines not working properly. Poor customer support...
1206,Good
1207,this product is realy good and easy to use worth for money  my best friend too
1208,Some songs unable to search by alexa. Only Integrated with specific song apps like hungama n all. Average on song selection.
1209,What a nice product but there is an problem that it need alexa app and takes time to login..other vice it is a massive product .I dont have a sister but after alexa came I am not feeling lone...😍😍😍😍😍😍😍❤❤❤❤❤❤❤💓💓💓
1210,I love the alexa very much she talk with me sign with me.The quality of product is very good and the sound quality is very soft and nice. My son also liked it very much...
1211,Love this product. Sound quality is superb. It has little bass too. Just go for it.
1212,"All the three, I mean Voice Recognition, Alexa Integration and Sound Quality magical..."
1213,"Most of the alexa doesn't understand the command, limited music options. It's not much of a use....."
1214,product is not bad bt ur service is not good...i buy an alexa bt the blinking light not working...want to replace with the same but no any option to replace it....what can i do give me a sollution.?
1215,Good
1216,"The media could not be loaded.
                



 This is pretty good , got a smart bulb for just 50 rs. amazing deal on prime day!!!"
1217,"Product is superb.....Only thing is that it's wired, and so we can use it only through charging mode."
1218,Very nice good sound quality
1219,Good product but confused sometimes. Grat sound quality .Better then google home in sound . And in features Google home would be a great choice.
1220,Nice assistant for any person. ✌🏻
1221,Amazing product
1222,The product is not performing to my expectations. It's  not taking my voice command. I need an expert to set it and satisfy me of it's worth.
1223,Unable to connect the device to TV & home theatre
1224,Excellent
1225,Not easy for daily use..better to go with Bluetooth speakers!
1226,Great AI Product by amazon
1227,Its one of the best product i have purchased.
1228,Not at all happy with the product
1229,"Just go for it, value for money👍"
1230,Good value for money. My kids like this. Integrating well with other bluetooth device.
1231,Great product but the sound recognition intelligence need to improved because when I ask for some other song thaen it starts something else... But overall it's great product...👍👍👍
1232,"Need more skills, difficult to link with different products"
1233,Very good and nice product..Speaker is nice.I got this in 1999 with wipro smart bulb.
1234,Overall product is good . Voice recognisation poor . Want to improve . Sond is superb. Alexa very good . Thanks for amazon for lovely product .
1235,Literally is a Friend. It's fascinating to see it talk like almost a human.  Everything aside..  it's really helpful at times.
1236,My product stopped working and no one from Amazon has contacted me for repairs inspite of my repeated complaints.
1237,"This is my second alexa ,best thing for entertainment, sounds quality is awesome"
1238,Decent speaker with voice recognition couldn’t have asked for more
1239,Easy to use
1240,Very nice
